City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,isfara,40.1265,70.6253,33.69,44,100,2.95,TJ,1707180833
254,la passe,45.5549,-0.8967,44.98,87,100,5.82,FR,1707180834
255,bogale,16.2833,95.4,68.43,76,0,4.74,MM,1707180834
256,lerwick,60.1545,-1.1494,39.2,96,100,25.7,GB,1707180831
257,east london,-33.0153,27.9116,72.46,84,6,4.36,ZA,1707180834
258,yoko,5.5333,12.3167,67.19,22,100,4.88,CM,1707180834
259,vilyuchinsk,52.9306,158.4028,19.67,70,72,6.69,RU,1707180834
260,gebeit,21.0667,36.3167,54.41,71,100,3.51,SD,1707180834
261,akrehamn,59.2667,5.1833,33.42,74,100,9.22,NO,1707180834
262,lebu,-37.6167,-73.65,61.75,93,98,5.03,CL,1707180575
263,lamu,-2.2717,40.902,79.43,85,97,10.0,KE,1707180745
264,rio grande,-32.035,-52.0986,77.11,84,100,13.35,BR,1707180759
265,al qusiyah,27.4402,30.8184,50.27,62,0,7.87,EG,1707180835
266,carutapera,-1.195,-46.02,78.82,88,90,6.58,BR,1707180835
267,qamdo,31.1667,97.2333,18.05,45,80,8.43,CN,1707180835
268,mangrol,21.1167,70.1167,70.12,85,0,9.91,IN,1707180835
269,vangaindrano,-23.35,47.6,74.39,90,100,6.53,MG,1707180835
270,san antonio de pale,-1.4014,5.6325,81.93,75,100,3.44,GQ,1707180737
271,ancud,-41.8697,-73.8203,58.05,93,100,6.24,CL,1707180623
272,amal,59.051,12.7049,21.04,88,96,3.89,SE,1707180835
273,igarka,67.4667,86.5833,-14.78,97,73,5.84,RU,1707180835
274,jucas,-6.5253,-39.5275,82.24,45,26,6.46,BR,1707180835
275,arteche,12.2645,125.4048,80.08,81,100,12.21,PH,1707180748
276,vilyuysk,63.7553,121.6247,-36.99,100,94,3.0,RU,1707180836
277,thunder bay,48.4001,-89.3168,33.78,93,75,5.75,CA,1707180556
278,bridgewater,44.3835,-64.5155,33.48,83,95,10.36,CA,1707180467
279,manaure,11.7751,-72.4445,79.92,84,59,5.66,CO,1707180836
280,barra de santo antonio,-9.4047,-35.5072,79.88,82,28,5.1,BR,1707180836
281,abong mbang,3.9833,13.1833,67.26,39,32,3.27,CM,1707180836
282,bac lieu,9.285,105.7244,79.86,79,56,7.83,VN,1707180836
283,happy valley-goose bay,53.3168,-60.3315,8.91,78,75,10.36,CA,1707180732
284,korets,50.6165,27.1605,34.03,96,100,9.08,UA,1707180836
285,mount pearl,47.5166,-52.7813,33.96,98,100,20.71,CA,1707180712
286,kupiskis,55.8333,24.9667,26.29,91,69,8.21,LT,1707180837
287,gunjur,13.2019,-16.7339,77.07,47,0,5.75,GM,1707180837
288,jamestown,42.097,-79.2353,30.52,90,40,8.05,US,1707180742
289,hoemul-li,41.4339,129.67,25.52,57,100,2.04,KP,1707180837
290,sainte-anne-des-monts,49.124,-66.4924,28.27,80,100,18.41,CA,1707180566
291,barcelos,41.5388,-8.6151,52.92,88,100,2.13,PT,1707180837
292,mount isa,-20.7333,139.5,91.17,58,100,8.05,AU,1707180624
293,siwa oasis,29.2041,25.5195,54.12,61,0,5.39,EG,1707180837
294,ardestan,33.3761,52.3694,41.67,37,100,7.67,IR,1707180837
295,coquimbo,-29.9533,-71.3436,65.93,88,20,6.91,CL,1707180564
296,hirara,24.8,125.2833,64.67,72,75,16.11,JP,1707180838
297,la foa,-21.7108,165.8276,85.15,68,100,6.73,NC,1707180838
298,haiku-pauwela,20.9219,-156.3051,77.04,65,20,19.57,US,1707180551
299,dwarka,22.2394,68.9678,71.85,75,0,5.68,IN,1707180838
300,new norfolk,-42.7826,147.0587,64.92,32,65,7.7,AU,1707180718
301,zaozersk,69.4005,32.4476,-2.47,100,100,4.54,RU,1707180838
